Category,Instruction
Bit Logic,LD
Bit Logic,LDN
Bit Logic,AND
Bit Logic,ANDN
Bit Logic,OR
Bit Logic,ORN
Bit Logic,LDI
Bit Logic,ANDI
Bit Logic,ANDNI
Bit Logic,ORI
Bit Logic,ORNI
Bit Logic,AND(
Bit Logic,OR(
Bit Logic,)
Bit Logic,NCR
Bit Logic,ST
Bit Logic,STN
Bit Logic,STI
Bit Logic,SI
Bit Logic,S_BLK
Bit Logic,R
Bit Logic,RI
Bit Logic,R_BLK
Bit Logic,R_TRIG
Bit Logic,F_TRIG
Bit Logic,RS
Bit Logic,SR
Bit Logic,NOP
Bit Logic,ALT
Bit Logic,BCNT
Move,MOVE
Move,BLKMOVE
Move,FILL
Move,SWAP
Move,XCH
Compare,GT
Compare,GE
Compare,NE
Compare,LT
Compare,LE
Compare,ZONECMP
Compare,CMP
Compare,TIMECMP
Compare,DATECMP
Logical Operations,NOT
Logical Operations,AND
Logical Operations,ANDN
Logical Operations,OR
Logical Operations,ORN
Logical Operations,XOR
Shift/Rotate,SHL
Shift/Rotate,SHL_BLK
Shift/Rotate,ROL
Shift/Rotate,ROL_BLK
Shift/Rotate,WSFL
Shift/Rotate,SHR
Shift/Rotate,SHR_BLK
Shift/Rotate,ROR
Shift/Rotate,ROR_BLK
Shift/Rotate,WSFR
Convert,B_TO_I
Convert,I_TO_B
Convert,DI_TO_I
Convert,I_TO_DI
Convert,DI_TO_R
Convert,R_TO_DI
Convert,BCD_TO_I
Convert,I_TO_BCD
Convert,L_TO_A
Convert,DL_TO_A
Convert,R_TO_A
Convert,H_TO_A
Convert,A_TO_H
Convert,ENCO
Convert,DECO
Convert,SEG
Convert,TRUNC
Numeric,ADD
Numeric,SUB
Numeric,MUL
Numeric,DIV
Numeric,MOD
Numeric,INC
Numeric,DEC
Numeric,SQRT
Numeric,LN
Numeric,LOG
Numeric,EXP
Numeric,POW
Numeric,SIN
Numeric,COS
Numeric,TAN
Numeric,ASIN
Numeric,ACOS
Numeric,ATAN
Numeric,ABS
Array,A_READ
Array,A_WRITE
Array,A_FILL
Array,A_GETSIZE
Array,A_SETSIZE
Array,A_GETTYPE
Array,A_SETTYPE
Array,A_MIN
Array,A_MAX
Array,A_AVE
Array,A_SUM
Array,A_SORT
FIFO/LIFO,FIFO_INIT
FIFO/LIFO,FIFO_PUSH
FIFO/LIFO,FIFO_POP
FIFO/LIFO,FIFO_SIZE
FIFO/LIFO,LIFO_INIT
FIFO/LIFO,LIFO_PUSH
FIFO/LIFO,LIFO_POP
FIFO/LIFO,LIFO_SIZE
Program Control,FOR
Program Control,NEXT
Program Control,CAL
Program Control,JMP
Program Control,JMPC
Program Control,JMPCN
Program Control,RETC
Program Control,RETCN
Program Control,END
Program Control,STOP
Program Control,WDR
Interrupt,ENI
Interrupt,DISI
Interrupt,ATCH
Interrupt,DTCH
Clock,READ_RTC
Clock,SET_RTC
Clock,RTC_R
Clock,RTC_W
Clock,ELAPSEDTIME
CAN,SDO_WRITE
CAN,SDO_READ
CO_STATE,CO_STATE
CO_STATE,CO_RESTART
CAN,CAN_INIT
CAN,CAN_TX
CAN,CAN_RX
CAN,CAN_READ
CAN,CAN_WRITE
EX_ADDR,EX_ADDR
ETHERNET,TCP_CLIENT
ETHERNET,TCPC_XMT
ETHERNET,TCPC_RCV
ETHERNET,TCPC_XMTRCV
ETHERNET,TCP_SERVER
ETHERNET,TCPS_XMT
ETHERNET,TCPS_RCV
ETHERNET,TCPS_XMTRCV
ETHERNET,TCPS_CLOSE
ETHERNET,UDP_PEER
ETHERNET,UDP_XMT
ETHERNET,UDP_RCV
ETHERNET,UDP_XMTRCV
ETHERNET,TCP_MBUSR
ETHERNET,TCP_MBUSW
ETHERNET,ETH_STATUS
ETHERNET,ETH_RESET
ETHERNET,ETH_RPARAS
ETHERNET,ETH_WPARAS
Communications,XMT
Communications,RCV
Communications,MBUSR
Communications,MBUSW
Communications,MBUSR2
Communications,MBUSW2
Communications,SPS_SLAVE
Communications,SPS_MSLAVE
Communications,SPS_SLV_OP
Communications,COM_XMT
Communications,COM_RCV
Communications,COM_XMTRCV
Communications,COM_RESET
Communications,COM_RPARAS
Communications,COM_WPARAS
Counter,CTU
Counter,CTD
Counter,CTUD
Counter,HDEF
Counter,HSC
Counter,PLS
Timer,TON
Timer,TOF
Timer,TP
Timer,TONS
Timer,TOFS
Timer,TP_R
PID,PID
PID,AT_PID
Position Control,PHOME
Position Control,PABS
Position Control,PREL
Position Control,PREL_M
Position Control,PJOG
Position Control,PJOGFEED
Position Control,PJOGFEED_I
Position Control,PSTOP
Position Control,PFLO_F
Motion Control,MC_POWER
Motion Control,MC_RESET
Motion Control,MC_HOME
Motion Control,MC_JOG
Motion Control,MC_MABS
Motion Control,MC_MABSE
Motion Control,MC_MREL
Motion Control,MC_STATE
Motion Control,MC_RPARAS
Motion Control,MC_WPARAS
Motion Control,MC_RESTART
additional,SPD
additional,LINCO
additional,TC_EXTCOMP
additional,CRC16
additional,CUS
additional,ENAES
additional,DEAES
additional,UNID_R
additional,UNID_W
